Series	Categories	Values	Category_Num
veh	Cyb5a	-0.3108747032874646	1011
oAB	Cyb5a	0.27420268685731697	1011
oAB	Cyb5a	0.2774394958244508	1011
oAB	Cyb5a	0.01214420263219015	1011
gsk	Cyb5a	-0.08178436028313187	1011
gsk	Cyb5a	-0.18909520569864424	1011
gsk	Cyb5a	-0.24601138556437957	1011
oAB-gsk	Cyb5a	0.29237688070386714	1011
oAB-gsk	Cyb5a	0.6041075974892804	1011
oAB-gsk	Cyb5a	-0.1353680199155136	1011
veh	Cyb5b	0.029654028793774056	1012
veh	Cyb5b	0.32989919708526566	1012
veh	Cyb5b	0.18170813701990604	1012
oAB	Cyb5b	-0.04619901591831399	1012
oAB	Cyb5b	0.43221910793215895	1012
oAB	Cyb5b	-0.3775145888573985	1012
gsk	Cyb5b	-0.04127877708397433	1012
gsk	Cyb5b	0.5611600979839714	1012
gsk	Cyb5b	-0.4388399020160287	1012
oAB-gsk	Cyb5b	-0.06226621790470441	1012
oAB-gsk	Cyb5b	-0.3670765389565176	1012
oAB-gsk	Cyb5b	0.026288770068501652	1012
veh	Cyb5r1	0.06917016081367568	1013
veh	Cyb5r1	0.542665440146093	1013
veh	Cyb5r1	0.10875762894449986	1013
oAB	Cyb5r1	-0.45733455985390714	1013
oAB	Cyb5r1	0.15837348811809926	1013
oAB	Cyb5r1	0.36979582333337396	1013
gsk	Cyb5r1	0.14590450713744285	1013
gsk	Cyb5r1	0.004568669135377139	1013
gsk	Cyb5r1	-0.04345862787047344	1013
oAB-gsk	Cyb5r1	-0.43803274874854214	1013
oAB-gsk	Cyb5r1	-0.019049845022986234	1013
oAB-gsk	Cyb5r1	-0.40510196936500326	1013
veh	Cyb5r3	-0.3379931643379791	1014
veh	Cyb5r3	0.21981851216327436	1014
veh	Cyb5r3	0.17298863306741788	1014
oAB	Cyb5r3	0.05424435073709221	1014
oAB	Cyb5r3	0.026320384639028346	1014
oAB	Cyb5r3	-0.0703940268058218	1014
gsk	Cyb5r3	-0.04175625930099584	1014
gsk	Cyb5r3	0.06199152123193383	1014
gsk	Cyb5r3	-0.43306629855032786	1014
oAB-gsk	Cyb5r3	-0.01728378992507332	1014
oAB-gsk	Cyb5r3	0.1392583828402985	1014
oAB-gsk	Cyb5r3	0.5669337014496721	1014
veh	Cyc1	0.26841729996878383	1015
veh	Cyc1	-0.33995764309113713	1015
veh	Cyc1	-0.18778533696415822	1015
oAB	Cyc1	-0.3623443821162284	1015
oAB	Cyc1	-0.32700913790476416	1015
oAB	Cyc1	-0.36942170431827703	1015
gsk	Cyc1	0.630578295681723	1015
gsk	Cyc1	0.4144846823672827	1015
gsk	Cyc1	0.412838252776778	1015
oAB-gsk	Cyc1	0.15088735961777067	1015
oAB-gsk	Cyc1	-0.29331518168165144	1015
oAB-gsk	Cyc1	0.1315254219726637	1015
veh	Cycs	0.431315872766584	1016
veh	Cycs	0.31630956512313674	1016
veh	Cycs	0.5232683495593217	1016
oAB	Cycs	-0.12348819379193905	1016
oAB	Cycs	-0.07363603766487528	1016
oAB	Cycs	-0.3187482396738952	1016
gsk	Cycs	0.17021895498282655	1016
gsk	Cycs	0.17574765780171211	1016
